"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11328","Example #1","bdd","2026-04-11","passed","2026-04-11","Create Data Pasien > create a new patient based on gender","tests\features\CreatePasien.feature.spec.js","",""
"","11235","Example #2","bdd","2026-04-11","passed","2026-04-11","Create Data Pasien > create a new patient based on gender","tests\features\CreatePasien.feature.spec.js","",""
